Index,Title,Year,Rating,Genre,Synopsis
2.,Air,2023,7.5,Superhero,No Synopsis
4.,Dungeons & Dragons: Honor Among Thieves,2023,7.4,Superhero,No Synopsis
5.,Evil Dead Rise,2023,6.8,Superhero,No Synopsis
6.,Guy Ritchie's the Covenant,2023,7.6,Superhero,No Synopsis
7.,Ant-Man and the Wasp: Quantumania,2023,6.2,Superhero,No Synopsis
8.,A Man Called Otto,2022,7.5,Superhero,No Synopsis
9.,John Wick: Chapter 4,2023,8.1,Superhero,No Synopsis
10.,The Pope's Exorcist,2023,6.1,Superhero,No Synopsis
11.,Scream VI,2023,6.6,Superhero,No Synopsis
12.,Guardians of the Galaxy,2014,8,Superhero,No Synopsis
13.,Renfield,2023,6.4,Superhero,No Synopsis
14.,Ghosted,2023,5.8,Superhero,No Synopsis
15.,The Kerala Story,2023,7.5,Superhero,No Synopsis
16.,F9: The Fast Saga,2021,5.2,Superhero,No Synopsis
17.,Guardians of the Galaxy Vol. 2,2017,7.6,Superhero,No Synopsis
18.,Avatar: The Way of Water,2022,7.7,Superhero,No Synopsis
19.,X,2022,6.6,Superhero,No Synopsis
20.,Heat,1995,8.3,Superhero,No Synopsis
21.,Cocaine Bear,2023,6,Superhero,No Synopsis
22.,Everything Everywhere All at Once,2022,7.8,Superhero,No Synopsis
23.,Caligula,1979,5.3,Superhero,No Synopsis
24.,Top Gun: Maverick,2022,8.3,Superhero,No Synopsis
25.,Dune,2021,8,Superhero,No Synopsis
26.,Bullet Train,2022,7.3,Superhero,No Synopsis
27.,The Fast and the Furious,2001,6.8,Superhero,No Synopsis
28.,The Shawshank Redemption,1994,9.3,Superhero,No Synopsis
29.,Operation Fortune: Ruse de Guerre,2023,6.3,Superhero,No Synopsis
30.,The Menu,2022,7.2,Superhero,No Synopsis
31.,The Fabelmans,2022,7.6,Superhero,No Synopsis
32.,Book Club,2018,6.1,Superhero,No Synopsis
33.,Triangle of Sadness,2022,7.3,Superhero,No Synopsis
34.,The Godfather,1972,9.2,Superhero,No Synopsis
35.,The Whale,2022,7.7,Superhero,No Synopsis
36.,Shazam! Fury of the Gods,2023,6,Superhero,No Synopsis
37.,Babylon,2022,7.2,Superhero,No Synopsis
38.,Interstellar,2014,8.7,Superhero,No Synopsis
39.,Evil Dead,2013,6.5,Superhero,No Synopsis
40.,The Suicide Squad,2021,7.2,Superhero,No Synopsis
41.,Knock at the Cabin,2023,6.1,Superhero,No Synopsis
42.,Fall,2022,6.4,Superhero,No Synopsis
43.,Love,2015,6.1,Superhero,No Synopsis
44.,65,2023,5.4,Superhero,No Synopsis
45.,Tetris,2023,7.4,Superhero,No Synopsis
46.,Harry Potter and the Sorcerer's Stone,2001,7.6,Superhero,No Synopsis
47.,The Batman,2022,7.8,Superhero,No Synopsis
48.,Pitch Perfect,2012,7.1,Superhero,No Synopsis
