Index,Title,Year,Rating,Genre,Synopsis
4.,Ant-Man and the Wasp: Quantumania,2023,6.2,Adventure,No Synopsis
6.,Ghosted,2023,5.8,Adventure,No Synopsis
11.,Shazam! Fury of the Gods,2023,6,Adventure,No Synopsis
14.,65,2023,5.4,Adventure,No Synopsis
16.,Spider-Man: No Way Home,2021,8.2,Adventure,No Synopsis
17.,Puss in Boots: The Last Wish,2022,7.9,Adventure,No Synopsis
21.,Strange World,2022,5.6,Adventure,No Synopsis
22.,Thor: Love and Thunder,2022,6.2,Adventure,No Synopsis
23.,Peter Pan,2003,6.8,Adventure,No Synopsis
39.,The Goonies,1985,7.7,Adventure,No Synopsis
59.,The Northman,2022,7,Adventure,No Synopsis
65.,Super Mario Bros.,1993,4.1,Adventure,No Synopsis
