Index,Title,Year,Rating,Genre,Synopsis
2.,Air,2023,7.5,Superhero,No Synopsis
5.,Evil Dead Rise,2023,6.8,Superhero,No Synopsis
6.,Guy Ritchie's the Covenant,2023,7.6,Superhero,No Synopsis
7.,Ant-Man and the Wasp: Quantumania,2023,6.2,Superhero,No Synopsis
9.,John Wick: Chapter 4,2023,8.1,Superhero,No Synopsis
10.,The Pope's Exorcist,2023,6.1,Superhero,No Synopsis
11.,Scream VI,2023,6.6,Superhero,No Synopsis
13.,Renfield,2023,6.4,Superhero,No Synopsis
14.,Ghosted,2023,5.8,Superhero,No Synopsis
15.,The Kerala Story,2023,7.5,Superhero,No Synopsis
19.,X,2022,6.6,Superhero,No Synopsis
21.,Cocaine Bear,2023,6,Superhero,No Synopsis
26.,Bullet Train,2022,7.3,Superhero,No Synopsis
29.,Operation Fortune: Ruse de Guerre,2023,6.3,Superhero,No Synopsis
31.,The Fabelmans,2022,7.6,Superhero,No Synopsis
33.,Triangle of Sadness,2022,7.3,Superhero,No Synopsis
35.,The Whale,2022,7.7,Superhero,No Synopsis
36.,Shazam! Fury of the Gods,2023,6,Superhero,No Synopsis
37.,Babylon,2022,7.2,Superhero,No Synopsis
41.,Knock at the Cabin,2023,6.1,Superhero,No Synopsis
42.,Fall,2022,6.4,Superhero,No Synopsis
43.,Love,2015,6.1,Superhero,No Synopsis
44.,65,2023,5.4,Superhero,No Synopsis
45.,Tetris,2023,7.4,Superhero,No Synopsis
49.,The Last Kingdom: Seven Kings Must Die,2023,6.9,Superhero,No Synopsis
52.,Pearl,2022,7,Superhero,No Synopsis
53.,Spider-Man: No Way Home,2021,8.2,Superhero,No Synopsis
54.,Puss in Boots: The Last Wish,2022,7.9,Superhero,No Synopsis
55.,Scream,2022,6.3,Superhero,No Synopsis
65.,The Fate of the Furious,2017,6.6,Superhero,No Synopsis
69.,Nope,2022,6.8,Superhero,No Synopsis
72.,Strange World,2022,5.6,Superhero,No Synopsis
73.,Thor: Love and Thunder,2022,6.2,Superhero,No Synopsis
77.,Peter Pan,2003,6.8,Superhero,No Synopsis
80.,The Banshees of Inisherin,2022,7.7,Superhero,No Synopsis
83.,Creed III,2023,6.9,Superhero,No Synopsis
85.,Glass Onion,2022,7.1,Superhero,No Synopsis
88.,White Men Can't Jump,1992,6.8,Superhero,No Synopsis
95.,Infinity Pool,2023,6.1,Superhero,No Synopsis
97.,Smile,2022,6.5,Superhero,No Synopsis
